TargetChr	TargetGene	TargetGeneTSS	expressed_proxy	geneFailedToRunThroughModel
chr1	DDX11L1	11873	FALSE	TRUE
chr1	WASH7P	29370	TRUE	TRUE
chr1	FAM138A	36081	FALSE	TRUE
chr1	FAM138F	36081	FALSE	TRUE
chr1	OR4F5	69090	FALSE	TRUE
chr1	LOC729737	140566	TRUE	TRUE
chr1	LOC101928626	564389	FALSE	TRUE
chr1	LOC100288069	714068	TRUE	FALSE
chr1	FAM87B	752750	FALSE	FALSE
chr1	LINC00115	762902	TRUE	FALSE
chr1	LINC01128	762970	TRUE	FALSE
chr1	FAM41C	812182	TRUE	FALSE
chr1	LOC100130417	855072	FALSE	FALSE
chr1	SAMD11	861120	FALSE	FALSE
chr1	NOC2L	894679	TRUE	FALSE
chr1	KLHL17	895966	TRUE	FALSE
chr1	PLEKHN1	901876	FALSE	FALSE
chr1	PERM1	917497	FALSE	FALSE
chr1	HES4	935552	TRUE	FALSE
chr1	ISG15	948846	TRUE	FALSE
chr1	AGRN	955502	TRUE	FALSE
chr1	RNF223	1009687	FALSE	FALSE
chr1	C1orf159	1051736	TRUE	FALSE
chr1	LINC01342	1072396	FALSE	FALSE
chr1	TTLL10	1115076	FALSE	FALSE
chr1	TNFRSF18	1142089	FALSE	FALSE
chr1	TNFRSF4	1149548	FALSE	FALSE
chr1	SDF4	1167447	TRUE	FALSE
chr1	B3GALT6	1167628	TRUE	FALSE
chr1	C1QTNF12	1182102	TRUE	FALSE
chr1	UBE2J2	1209234	TRUE	FALSE
chr1	SCNN1D	1215815	TRUE	FALSE
chr1	ACAP3	1243269	TRUE	FALSE
chr1	PUSL1	1243959	TRUE	FALSE
chr1	INTS11	1260067	TRUE	FALSE
chr1	CPTP	1260142	TRUE	FALSE
chr1	TAS1R3	1266725	FALSE	FALSE
chr1	DVL1	1284492	TRUE	FALSE
chr1	MXRA8	1294174	TRUE	FALSE
chr1	AURKAIP1	1310580	TRUE	FALSE
chr1	CCNL2	1334718	TRUE	FALSE
chr1	LOC148413	1334909	TRUE	FALSE
chr1	MRPL20	1342693	TRUE	FALSE
chr1	ANKRD65	1356824	FALSE	FALSE
chr1	TMEM88B	1361507	FALSE	FALSE
chr1	LINC01770	1369953	FALSE	FALSE
chr1	VWA1	1370902	TRUE	FALSE
chr1	ATAD3C	1385068	FALSE	FALSE
chr1	ATAD3B	1413494	TRUE	FALSE
chr1	ATAD3A	1447522	TRUE	FALSE
chr1	TMEM240	1475740	FALSE	FALSE
chr1	SSU72	1510262	TRUE	FALSE
chr1	FNDC10	1535476	TRUE	FALSE
chr1	MIB2	1550794	TRUE	FALSE
chr1	MMP23B	1567559	FALSE	FALSE
chr1	CDK11B	1655859	TRUE	FALSE
chr1	SLC35E2B	1624243	TRUE	FALSE
chr1	CDK11A	1656004	TRUE	FALSE
chr1	SLC35E2	1677438	TRUE	FALSE
chr1	NADK	1710297	TRUE	FALSE
chr1	GNB1	1822556	TRUE	FALSE
chr1	CALML6	1846265	FALSE	FALSE
chr1	TMEM52	1850740	TRUE	FALSE
chr1	CFAP74	1935276	FALSE	FALSE
chr1	GABRD	1950767	FALSE	FALSE
chr1	LOC105378591	1981509	FALSE	FALSE
chr1	PRKCZ	2005424	FALSE	FALSE
chr1	FAAP20	2126214	TRUE	FALSE
chr1	SKI	2160133	TRUE	FALSE
chr1	LOC100129534	2284100	FALSE	FALSE
chr1	MORN1	2323190	FALSE	FALSE
chr1	RER1	2323213	TRUE	FALSE
